macros,positive frequency,length
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'),1,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'),1,5
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'  'unload_r0_k1_0'),1,5
('move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),3,5
('prepare_unload_0'  'move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),3,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),36,2
('load_r0_l1_c1_k1_1'  'prepare_unload_0'),30,2
('prepare_unload_0'  'load_r0_l1_c1_k1_1'),28,2
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),7,2
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),35,3
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'),9,3
('load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'),25,3
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),2,3
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),4,3
('prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'),9,3
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),35,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'),9,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'),9,4
('load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),2,4
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),1,4
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),4,4
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'),9,4
('prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),9,4
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),31,5
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'),9,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'),9,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),2,5
('load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),1,5
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),1,5
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'),2,5
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),9,5
('prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),9,5
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),76,2
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),27,3
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),5,3
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),26,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),1,4
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),3,4
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),26,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),1,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),1,5
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),3,5
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),2,5
('prepare_unload_0'  'move_r0_l1_l2'),23,2
('move_r0_l1_l2'  'move_r0_l1_l2'),91,2
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),41,2
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),77,2
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),7,2
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l2'),9,3
('prepare_unload_0'  'move_r0_l1_l2'  'move_r0_l1_l2'),10,3
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),37,3
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),26,3
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),4,3
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'),4,3
('prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'),7,3
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l2'),9,4
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l2'  'move_r0_l1_l2'),7,4
('prepare_unload_0'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),7,4
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),22,4
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),3,4
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'),3,4
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),4,4
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'),7,4
('prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),7,4
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l2'),9,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l2'  'move_r0_l1_l2'),7,5
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),7,5
('prepare_unload_0'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),6,5
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),3,5
